abigarrado#a	bn:00099131a	bn:00113507a
abigeato#n	bn:00016812n	bn:00068650n
abilidad#n	bn:00042762n	bn:00042815n
ab_initio#r	bn:00114055r
abiogénesis#n	bn:00000319n
abiogenético#a	bn:00096138a
abiogenista#n	bn:00000320n
abisal#a	bn:00109080a	bn:00096227a	bn:00096226a
abiselar#v	bn:00083462v
abisinia#n	bn:00000536n	bn:00000537n
abisinio#n	bn:00000537n
abismal#a	bn:00109080a	bn:00096226a	bn:00096225a	bn:00096227a
abismo#n	bn:00000534n	bn:00042442n	bn:00025812n	bn:00042161n	bn:00027503n	bn:00017929n
abismo_oceánico#n	bn:00025811n	bn:00025812n
abiyán#n	bn:00000303n
abjasia#n	bn:00000327n
abjasio#n	bn:00000324n
abjaso#a	bn:00096143a
abjaso#n	bn:00000324n	bn:00000325n	bn:00000326n
abjuración#n	bn:00000322n
abjurar#v	bn:00092723v	bn:00086893v	bn:00082141v	bn:00082146v	bn:00086596v
abjurer#n	bn:00000323n
abkhazia#n	bn:00000327n
ablación_del_clítoris#n	bn:00019875n
ablación#n	bn:00003676n	bn:00000330n
ablactación#n	bn:00000328n
ablactar#v	bn:00082142v
ablandabrevas#n	bn:00040946n
ablandado#a	bn:00111728a
ablandador_de_agua#n	bn:00080631n
ablandamiento_de_agua#n	bn:00080631n
ablandamiento#n	bn:00072640n
ablandante#a	bn:00101166a
ablandarse#v	bn:00090734v	bn:00090732v
ablandar#v	bn:00094015v	bn:00094021v	bn:00095682v	bn:00094020v	bn:00094874v
ablativo#a	bn:00096145a
ablativo_absoluto#n	bn:00000333n
ablativo#n	bn:00000332n
ablaut#n	bn:00000334n
ablefaria#n	bn:00000337n
ableísmo#n	bn:00000336n
ablución#n	bn:00009011n	bn:00000339n
ab#n	bn:00000194n
abnaki#n	bn:00000341n
abnegación#n	bn:00000342n	bn:00000343n	bn:00070344n	bn:00070376n	bn:00079211n
abnegado#a	bn:00096907a	bn:00110310a
abnegar#v	bn:00082147v
abobamiento#n	bn:00007921n
abobar#v	bn:00083432v
a_bocajarro#a	bn:00108735a
abocclusion#n	bn:00000354n
abochornado#a	bn:00097581a	bn:00102141a	bn:00110508a
abochornar#v	bn:00093569v	bn:00082903v	bn:00093568v	bn:00083704v
abofetear#v	bn:00093846v	bn:00086138v	bn:00084188v	bn:00083477v
abogacía#n	bn:00008470n	bn:00001602n
abogada#n	bn:00007051n	bn:00008722n
abogado_defensor#n	bn:00025890n	bn:00001604n
abogado_del_diablo#n	bn:00026724n
abogado_del_estado#n	bn:00074013n
abogado_de_oficio#n	bn:00065086n
abogado_de_pobres#n	bn:00065086n
abogado_divorcista#n	bn:00027939n
abogado_matrimonialista#n	bn:00027939n
abogado#n	bn:00007051n	bn:00001604n	bn:00008722n
abogaducho#n	bn:00061841n
abogar#v	bn:00082419v	bn:00082418v	bn:00084766v
abohm#n	bn:00000357n
abolengo#n	bn:00003893n	bn:00003894n
abolible#a	bn:00096161a
abolicionario#a	bn:00096162a
abolicionismo#n	bn:00000359n
abolicionista#a	bn:00096162a
abolicionista#n	bn:00000360n
abolición#n	bn:00000358n
abolir#v	bn:00082148v	bn:00082161v	bn:00082643v
abollado#a	bn:00098257a
abolladura#n	bn:00026264n
abollar#v	bn:00083806v	bn:00086590v	bn:00083172v
abomaso#n	bn:00000361n
abombado#a	bn:00109221a	bn:00099001a
abombar#v	bn:00084212v
abominable#a	bn:00096165a	bn:00096164a	bn:00100736a
abominable_hombre_de_las_nieves#n	bn:00000362n
abominablemente#r	bn:00115057r
abominación#n	bn:00004710n	bn:00000298n	bn:00027620n
abominador#n	bn:00000365n
abominar#v	bn:00082248v	bn:00082136v	bn:00086717v
abonable#a	bn:00100009a
abonado_de_superficie#n	bn:00077617n
abonado#n	bn:00066366n	bn:00014825n
abonar_con_cal#v	bn:00090370v
abonaré#n	bn:00058148n
abonarse#v	bn:00091750v	bn:00094547v
abonar#v	bn:00091493v	bn:00088091v	bn:00090974v	bn:00086018v	bn:00086017v	bn:00090640v
abono_de_temporada#n	bn:00021265n
abono_ecológico#n	bn:00041675n
abono#n	bn:00025954n	bn:00053287n	bn:00028696n	bn:00034136n	bn:00023669n	bn:00021265n	bn:00061119n
abono_orgánico#n	bn:00021413n	bn:00034136n	bn:00056254n	bn:00059472n
abono_verde#n	bn:00041675n	bn:00050401n
